blockfile,cue_file,target_x,is_valid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,auto_counter.started,group,auto_counter.stopped,trial.started,cue.started,target.started,mouse.started,cue.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
valid_conditions.xlsx,cue_left.png,-0.5,valid,0,0,0,0,0,0,0,0,0.6509628000003431,,0.006954500000574626,A,0.007242700001370395,0.015573100001347484,0.6509628000003431,0.7105301000010513,0.7033201000012923,1.3519696000003023,1.5574049000006198,[-0.43148148148148147],[0.10833333333333334],[1],[0],[0],[0.8464296000001923],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,cue_left.png,-0.5,valid,0,0,0,0,0,1,1,1,1.944714600000225,,,,,1.5581188000014663,1.944714600000225,2.26200450000033,0.7041034000012587,2.642392600000676,2.752208200001405,[-0.45185185185185184],[-0.000925925925925926],[1],[0],[0],[0.48988420000023325],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,cue_right.png,0.5,valid,0,0,0,0,0,2,2,3,3.0994360000004235,,,,,2.752630000000863,3.0994360000004235,3.45563089999996,0.7031392999997479,4.1437357000013435,3.8018904000000475,[0.47129629629629627],[0.01574074074074074],[1],[0],[0],[0.3459554000000935],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,cue_right.png,0.5,valid,0,0,0,0,0,3,3,2,4.1437357000013435,,,,,3.8022146000002977,4.1437357000013435,4.503820699999778,0.7017728999999235,,4.7590802000013355,[0.47129629629629627],[0.01574074074074074],[1],[0],[0],[0.25495889999911014],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,cue_right.png,0.5,valid,0,0,0,0,1,0,4,3,5.10655990000123,,,,,4.759429300000193,5.10655990000123,5.461067700000058,0.7018033999993349,,5.722672900001271,[0.47129629629629627],[0.01574074074074074],[1],[0],[0],[0.26131119999990915],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,cue_right.png,0.5,valid,0,0,0,0,1,1,5,2,6.080114800000956,,,,,5.723004700001184,6.080114800000956,6.424338800001351,0.7014779000000999,,6.661726100001033,[0.47129629629629627],[0.01574074074074074],[1],[0],[0],[0.23708280000028026],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,cue_left.png,-0.5,valid,0,0,0,0,1,2,6,0,7.053093000000445,,,,,6.662041600000521,7.053093000000445,7.363736700001027,0.7018349999998463,,7.740474899999754,[-0.5351851851851852],[0.009259259259259259],[1],[0],[0],[0.3764336000003823],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,cue_left.png,-0.5,valid,0,0,0,0,1,3,7,1,8.13052659999994,,,,,7.740791500000341,8.13052659999994,8.442430300001433,0.7017992999990383,,8.655193900000086,[-0.5351851851851852],[0.008333333333333333],[1],[0],[0],[0.21249139999963518],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
valid_conditions.xlsx,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
invalid_conditions.xlsx,cue_left.png,0.5,invalid,0,1,1,1,0,0,0,0,9.055769100001271,,,,,8.66750570000113,9.055769100001271,9.357491900000241,0.7021368999994593,9.756024600001183,9.8838508000008,[0.4101851851851852],[-0.000925925925925926],[1],[0],[0],[0.5260402000003523],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
invalid_conditions.xlsx,cue_right.png,-0.5,invalid,0,1,1,1,0,1,1,2,10.233731300000727,,,,,9.88441849999981,10.233731300000727,10.587617299999692,0.7033391000004485,10.931566299999758,11.065460600000733,[-0.600925925925926],[-0.05740740740740741],[1],[0],[0],[0.47762220000004163],['target'],008139,001,2023-10-10_13h25.22.739,posner-auto-counter,2023.2.2,165.2488316920988,2023-10-10 13h25.30.177505 +0100,
